Hi.	Здрасти.
Let's hurry up.	Дай да побързаме.
Let's hurry up.	Давайте да побързаме.
Let's practice.	Да се упражняваме.
Let's practice.	Хайде да се поупражняваме.
Let's split it.	Да го разделим.
Let's watch TV.	Да погледаме телевизия.
Make it happen.	Направи така, че да стане.
Mary looks hot.	Мери изглежда страхотно.
May I join you?	Може ли да се присъединя към теб?
May I kiss you?	Може ли да те целуна?
May I kiss you?	Може ли да ви целуна?
My joints ache.	Ставите ме болят.
My joints ache.	Болят ме ставите.
My tooth hurts.	Боли ме зъба.
Please come in.	Влезте, моля.
Prices went up.	Цените се повишиха.
Say it clearly.	Кажи го ясно.
See you around.	Доскоро.
See you around.	До нови срещи.
Shall we dance?	Да потанцуваме?
She grew roses.	Тя гледаше рози.
Sugar is sweet.	Захарта е сладка.
Take your time.	Не бързай.
Tell me a joke.	Кажи ми виц.
That's my book.	Това е моята книга.
That's too bad.	Това е много жалко.
The birds sang.	Птиците пяха.
The birds sang.	Птиците запяха.
They both work.	Работят и двете.
They both work.	Функционират и двете.
They both work.	Функционират и двата.
They both work.	Работят и двата.
They both work.	Работят и двамата.
They hated Tom.	Те мразеха Том.
They quarreled.	Те се караха.
This isn't fun.	Това не е смешно.
Time to get up.	Време е за ставане.
Tom can't cook.	Том не може да готви.
Tom can't walk.	Том не може да върви.
Tom can't walk.	Том не може да ходи.
Tom is so rude.	Том е грубиян.
Tom likes cats.	Том харесва котки.
Tom looks cool.	Том изглежда страхотно.
Tom looks pale.	Том изглежда блед.
Tom wasn't fat.	Том не беше дебел.
Tom won't care.	На Том няма да му пука.
Tom's not busy.	Том не е зает.
We drank a lot.	Пихме доста.
We were eating.	Ние се хранехме.
We were eating.	Хранехме се.
Well, let's go.	Ами, хайде да тръгваме.
What do you do?	С какво се занимаваш?
What's his job?	Неговата работа каква е?
When's it over?	Кога приключва?
Where is Paris?	Къде се намира Париж?
Where is Paris?	Къде е Париж?
Where was that?	Това къде беше?
Where was that?	Къде беше онова?
Where were you?	Ти къде беше?
Where were you?	Къде беше?
Why do you ask?	Защо питаш?
Wipe your nose.	Избърши си носа.
Yes, I know it.	Да, знам го.
You could help.	Ти можеш да помогнеш.
You could help.	Ти би могъл да помогнеш.
You could help.	Би могъл да помогнеш.
You could help.	Би могла да помогнеш.
You could help.	Ти би могла да помогнеш.
You look awful.	Изглеждаш ужасно.
You look bored.	Изглеждаш отегчен.
You look tired.	Изглеждаш уморен.
You look tired.	Ти изглеждаш изморен.
You're kidding!	Шегуваш се!
You're kidding!	Майтапиш се!
You're kidding!	Ти се шегуваш!
You're kidding!	Ти си правиш шеги!
A man must work.	Един мъж трябва да работи.
A man must work.	Човек трябва да се труди.
Am I reinstated?	Възстановен ли съм на длъжност?
Am I reinstated?	Възстановена ли съм на длъжност?
Am I understood?	Разбра ли ме?
Am I understood?	Разбрахте ли ме?
Anybody can try.	Всеки може да се опита.
Anybody can try.	Всеки може да опита.
Anybody miss me?	Липсвах ли ви?
Anybody see you?	Някой видя ли те?
Are those yours?	Тези твои ли са?
Are those yours?	Тези ваши ли са?
Are those yours?	Тези Ваши ли са?
Are we finished?	Приключихме ли?
Are we finished?	Свършихме ли?
Are we prepared?	Готови ли сме?
Are we prepared?	Подготвени ли сме?
Are you at home?	Вкъщи ли си си?
Are you doctors?	Вие лекари ли сте?
Are you doctors?	Вие доктори ли сте?
Are you injured?	Ранен ли си?
Are you injured?	Ранена ли си?
Are you injured?	Ранен ли сте?
Are you injured?	Ранена ли сте?
Are you jealous?	Ревнуваш ли?
Are you jealous?	Ревнувате ли?
Are you leaving?	Тръгваш ли?
Are you leaving?	Тръгваш ли си?
Are you leaving?	Тръгвате ли?
Are you leaving?	Тръгвате ли си?
Are you nervous?	Нервен ли си?
Are you nervous?	Нервна ли си?
Are you nervous?	Нервни ли сте?
Are you psychic?	Ти екстрасенс ли си?
Are you sisters?	Сестри ли сте?
Are you worried?	Притеснен ли си?
Are you worried?	Притеснена ли си?
Are you worried?	Притеснени ли сте?
Are you worried?	Тревожиш ли се?
Are you worried?	Тревожите ли се?
Aren't we lucky?	Не сме ли късметлии?
Aren't you cold?	Не ти ли е студено?
Aren't you cold?	Не Ви ли е студено?
Aren't you late?	Не закъсняваш ли?
Aren't you late?	Не закъснявате ли?
Ask again later.	Попитай пак по-късно.
Ask again later.	Попитайте пак по-късно.
Ask me anything.	Питай ме всичко.
Ask me anything.	Поискай ми всичко.
Ask me tomorrow.	Питай ме утре.
Be careful, Tom!	Внимавай, Том!
Be more precise.	Бъдете по-конкретен.
Be more precise.	Бъдете по-конкретна.
Be more precise.	Бъди по-конкретен.
Be more precise.	Бъди по-конкретна.
Be more precise.	Бъди по-точен.
Be more precise.	Бъди по-точна.
Be more precise.	Бъдете по-точна.
Be more precise.	Бъдете по-точен.
Be more precise.	Бъдете по-точни.
Be more precise.	Бъдете по-конкретни.
Bees make honey.	Пчелите правят мед.
Black suits you.	Черното Ви отива.
Black suits you.	Черното ти отива.
Black suits you.	Черното ви отива.
Call the police!	Обади се на полицията!
Call the police!	Викайте полицията!
Can I leave now?	Може ли да си тръгна сега?
Can you find it?	Можеш ли да го намериш?
Clean your room.	Изчисти си стаята.
Come and see us.	Елате ни на гости.
Come and see us.	Ела ни на гости.
Come and see us.	Ела да ни видиш.
Come and see us.	Елате да ни видите.
Come downstairs.	Ела долу.
Come downstairs.	Елате долу.
Come if you can.	Ела, ако можеш.
Come if you can.	Елате, ако можете.
Congratulations!	Поздравления!
Congratulations!	Честито!
Count to thirty.	Брой до трийсет.
Count to thirty.	Бройте до трийсет.
Did you like me?	Ти харесваше ли ме?
Do I need a tie?	Трябва ли ми вратовръзка?
Do you have one?	Ти имаш ли?
Do you have one?	Ти имаш ли си?
Do you think so?	Мислиш ли?
Don't be afraid.	Не се страхувай.
Don't forget me.	Не ме забравяй.
Don't forget me.	Не ме забравяйте.
Don't overdo it.	Не прекалявай.
Enjoy your meal!	Приятен апетит!
Enjoy your meal!	Да ти е сладко!
Everything's OK.	Всичко е наред.
Get off my back!	Махни ми се от главата!
Go and find Tom.	Отиди и намери Том.
Go back to work.	Върни се на работа.
Green suits you.	Зеленото ти отива.
Green suits you.	Зеленото Ви отива.
Green suits you.	Зеленото ви отива.
Have a nice day!	Приятен ден!
He bought a car.	Той купи кола.
He did not come.	Той не дойде.
He is very kind.	Той е много любезен.
He is very kind.	Той е много мил.
He looks strong.	Той изглежда силен.
He lost his job.	Той си загуби работата.
He loves trains.	Той обича влаковете.
He's a big liar.	Той е голям лъжец.
He's photogenic.	Той е фотогеничен.
How can I go on?	Как мога да продължа?
How can I go on?	Как бих могъл да продължа?
How can I leave?	Как мога да си тръгна?
How can I sleep?	Как мога да спя?
How can I sleep?	Как бих могъл да спя?
How do you know?	Откъде знаеш?
How do you know?	Откъде знаете?
How do you know?	Ти откъде знаеш?
How do you know?	Ти откъде го знаеш?
