Run!	Loop!
I haven't forgotten.	Ik heff dat nich vergeten.
I know you are rich.	Ik weet, dat du riek büst.
I like light colors.	Ik mag helle Klören.
I love blackberries.	Ik mag Brummelbeern.
I see what you mean.	Ik verstah, wat du meenst.
I sent you a letter.	Ik heff di en Breev tostüürt.
I sleep standing up.	Ik slaap in ’t Stahn.
I think I've got it.	Ik glööv, ik heff ’t.
I want another beer.	Ik will noch en Beer.
I wish I were young.	Ik wull, ik weer jung.
I won't do it again.	Ik do ’t nich wedder.
I'll be back at six.	Ik bün Klock söss trügg.
I'll be back at ten.	Ik bün Klock teihn trügg.
I'm a stranger here.	Ik bün en Frömmen hier.
I'm against the war.	Ik bün gegen den Krieg.
I'm drinking coffee.	Ik drink Kaffe.
I'm eating an apple.	Ik eet en Appel.
I'm forty years old.	Ik bün veertig Johr oold.
I'm only a customer.	Ik bün bloot en Kunn.
I'm taller than him.	Ik bün grötter as he.
I'm taller than you.	Ik bün grötter as du.
I'm trying to sleep.	Ik versöök to slapen.
I've borrowed a car.	Ik heff en Auto utlehnt.
I've got a question.	Ik heff en Fraag.
I've lost my wallet.	Ik heff mien Portmaneet verloren.
Is everything ready?	Is allens trech?
It is too expensive.	Dat is to düür.
It tastes very good.	Dat hett temlich good smeckt.
It was hard as rock.	Dat weer hart as Steen.
Japanese are Asians.	Japaners sünd Asiaten.
Let me have a taste.	Laat mi man proven.
Let's try something.	Laat uns wat versöken!
Lie on your stomach.	Legg di op ’n Buuk.
My back still hurts.	Mien Rügg deit jümmer noch weh.
My back still hurts.	Mien Puckel deit jümmer noch weh.
My new dress is red.	Mien neet Kleed is rood.
My nose is bleeding.	Mien Nees blödd.
My throat feels dry.	Mien Strott föhlt sik dröög an.
My trousers are wet.	Miene Büx is natt.
Nobody speaks to me.	Nüms snackt mit mi.
Nobody speaks to me.	Nüms praat mit mi.
Nobody speaks to me.	Nüms küert mit mi.
Play me some Chopin.	Speel mi en beten Chopin.
She agreed with him.	Se deed em tostimmen.
She boiled the eggs.	Se deed de Eier kaken.
She danced with him.	Se hett mit em danst.
She gave him a book.	Se geev em en Book.
She has 2,000 books.	Se hett 2000 Böker.
She has a white cat.	Se hett en witte Katt.
She has no brothers.	Se hett keen Bröder.
She is just a child.	Se is bloot en Kind.
She is still a girl.	Se is noch en Deern.
She kicked him hard.	Se hett em düchtig peddt.
She locked the door.	Se möök de Döör dicht.
She locked the door.	Se deed de Döör dichtsluten.
She sat next to him.	Se deed blangen em sitten.
She sat on the bank.	Se seet op de Bank.
She still buys milk.	Se köfft noch jümmer Melk.
She stopped smoking.	Se höör mit Smöken op.
She understands him.	Se versteiht em.
She watched him eat.	Se keek em bi ’t Eten to.
She works at a bank.	Se arbeidt bi de Bank.
Take off your shoes.	Treck dien Schoh ut.
Thailand is in Asia.	Thailand liggt in Asien.
That makes me angry.	Dat argert mi.
That's a lemon tree.	Dat is en Zitronenboom.
That's not my fault.	Dat is nich mien Schuld.
That's true as well.	Dat is ook wohr.
That's your funeral.	Dat is dien Gräffnis.
The apples are ripe.	De Appels sünd riep.
The clouds hung low.	De Wulken hüngen sied.
The computer is new.	De Computer is nee.
The dog bit my hand.	De Hund hett mi in ’e Hand beten.
The house is pretty.	Dat Huus is smuck.
The letter returned.	De Breev keem trügg.
The radio is broken.	Dat Radio is kaputt.
The snow has melted.	De Snee is smulten.
This CD is my son's.	Disse CD höört mien Söhn to.
This is my own bike.	Dat is mien egen Fohrrad.
Tom is in the house.	Tom is in ’t Huus.
Tom lay on his back.	Tom leeg op ’n Rügg.
We all like cycling.	Wi föhrt all geern Fohrrad.
We're in the forest.	Wi sünd in ’n Woold.
We're open tomorrow.	Wi hebbt morgen apen.
We're out of danger.	Wi sünd buten Gefohr.
We've got a problem.	Wi hebbt en Probleem.
What are they doing?	Wat maakt se?
What should I bring?	Wat schall ik mitbringen?
What's in your hand?	Wat hest du in ’e Hand?
When will you leave?	Wannehr geihst du loos?
Where are the shoes?	Woneem sünd de Schoh?
Where are you going?	Wo geihst du hen?
Where have you been?	Woneem weren ji?
Where were you born?	Woneem büst du boren?
Who sings that song?	’Keen singt dit Leed?
Who wrote this book?	’Keen hett dit Book schreven?
Who wrote this poem?	’Keen hett dit Gedicht schreven?
Who's going with me?	’Keen kummt mit mi?
Why did you call me?	Worüm hest du mi ropen?
Why did you call me?	Worüm hest du mi anropen?
Why is the sky blue?	Worüm is de Heven blau?
You are a good cook.	Du büst en goden Kock.
You must study more.	Du musst mehr lehren.
You're looking good!	Ji seht good ut!
Your father is tall.	Dien Vader is groot.
Your shoes are here.	Diene Schoh sünd hier.
Are you able to swim?	Kannst du swemmen?
Are you feeling sick?	Föhlst du di süük?
Buy the full version.	Kööp de Vullversion.
Can I ask a question?	Dröff ik en Fraag stellen?
Can I sit beside you?	Dröff ik blangen di sitten?
Children need loving.	Kinner bruukt Leevd.
Do whatever you want.	Do, wat du wullt.
Do you have a minute?	Hest du kort Tied?
Do you recognize him?	Kennst du em?
Do you speak Chinese?	Snackst du Chineesch?
Don't make a mistake.	Maak keen Fehler.
Fish live in the sea.	Fisch leevt in de See.
France borders Italy.	Frankriek grenzt an Italien.
Go to the barbershop.	Gah na ’n Putzbüdel.
Good night, everyone!	Gode Nacht alltohoop!
Have you fed the dog?	Hest du den Hund fuddert?
He comes from Geneva.	He kummt ut Genf.
He gets tired easily.	He warrt licht mööd.
He had fifty dollars.	He harr föfftig Dollar.
He has a good memory.	He hett en behöllern Kopp.
He is afraid of dogs.	He is bang vör Hunnen.
He is friendly to me.	He is fründlich to mi.
He is my best friend.	He is mien besten Fründ.
He wants to kiss her.	He will ehr küssen.
He was out of breath.	He weer ganz ut ’e Puust.
He's got a white cat.	He hett en witte Katt.
He's offered to help.	He hett anbaden mittohelpen.
He's taking a shower.	He duuscht.
How many do you want?	Woveel wullt du?
How much is one beer?	Woveel köst en Beer?
I am eating an apple.	Ik eet en Appel.
I am forced to do it.	Ik mutt dat doon.
I bought fresh bread.	Ik heff frisch Brood köfft.
I can hear something.	Ik höör wat.
I can't afford a car.	Ik kann mi keen Auto tügen.
I crossed the street.	Ik bün över de Straat gahn.
I didn't see anybody.	Ik heff nüms sehn.
I don't have a sword.	Ik heff keen Sweerd.
I don't want to work.	Ik will nich arbeiden.
I had a heart attack.	Ik heff en Hartanfall hatt.
I have two daughters.	Ik heff twee Döchter.
I just took a shower.	Ik heff jüst duuscht.
I know her very well.	Ik kenn ehr temlich good.
I know what you mean.	Ik weet, wat du meenst.
I know what you mean.	Ik weet wat du meenst.
I know your language.	Ik kenn dien Spraak.
I like her very much.	Ik mag ehr temlich geern.
I like reading books.	Ik lees geern Böker.
I like to wear clogs.	Ik draag geern Holschen.
I must buy groceries.	Ik mutt inköpen gahn.
I need a new bicycle.	Ik bruuk en neet Fohrrad.
I no longer like you.	Ik mag di nich mehr.
I owe him 50,000 yen.	Ik bün em 50.000 Yen schüllig.
I think we need help.	Mi dücht, wi bruukt Hülp.
I usually go on foot.	Ik gah normalerwies to Foot.
I was playing tennis.	Ik heff Tennis speelt.
I was reading a book.	Ik heff en Book leest.
I went to the market.	Ik bün na ’n Markt gahn.
I won the gold medal.	Ik heff de Goldmedalje wunnen.
I'd like to kiss you.	Ik deed di geern küssen.
I'm allergic to fish.	Ik bün allergisch gegen Fisch.
I'm doing well today.	Vondaag geiht mi dat good.
I'm not at all tired.	Ik bün gornich mööd.
I'm smarter than you.	Ik bün klöker as du.
I'm still very tired.	Ik bün noch temlich mööd.
I'm writing a letter.	Ik schriev en Breev.
I've lost my friends.	Ik heff mien Frünnen verloren.
I've run three miles.	Ik bün dree Mielen lopen.
Is anyone else going?	Geiht dor ans noch een hen?
It was time to leave.	Dat weer Tied to gahn.
May I borrow this CD?	Kann ik mi disse CD utborgen?
May I have your name?	Dröff ik dien Naam weten?
My father's a doctor.	Mien Vader is en Dokter.
My headache has gone.	Mien Kopp deit nich mehr weh.
My sister is married.	Mien Süster is verheiraadt.
My skirt is too long.	Mien Rock is to lang.
Please have some pie.	Eet doch en Stück Koken.
She bought him a car.	Se hett em en Auto köfft.
She bought him a dog.	Se hett em en Hund köfft.
She did it carefully.	Se deed dat vörsichtig.
She found him a seat.	Se hett en Platz för em funnen.
She has forgiven him.	Se hett em vergeven.
She heard him scream.	Se hett em schreen höört.
She ironed her shirt.	Se deed ehr Shirt plätten.
She is a quiet woman.	Se is en stille Froo.
She knelt beside him.	Se deed blangen em kneen.
She missed him a lot.	Se hett em dull misst.
She plays the guitar.	Se speelt Gitarr.
She sold him her car.	Se hett em ehr Auto verköfft.
She told him her age.	Se hett em ehr Öller verraden.
She wants to hug him.	Se will em drücken.
She was well-dressed.	Se weer good antagen.
She watched him swim.	Se keek em bi ’t Swemmen to.
She's my best friend.	Se is mien beste Fründin.
She's older than him.	Se is öller as he.
She's scared of dogs.	Se is bang vör Hunnen.
Someone stole my bag.	Een hett mien Tasch stahlen.
That bicycle is mine.	Dat Fohrrad höört mi to.
The dog looks hungry.	De Hund sütt hungerig ut.
The house is haunted.	Dat spöökt in dat Huus.
The house is haunted.	In ’t Huus spöökt dat.
The red house is new.	Dat rode Huus is nee.
The ship ran aground.	Dat Schipp lööp op Grund.
The shower is broken.	De Duusch is kaputt.
These aren't my keys.	Dat sünd nich miene Slötels.
They want to kill me.	Se wüllt mi ümbringen.
They went to the zoo.	Se sünd na ’n Zoo gahn.
They're in aisle two.	De sünd in Gang Nummer twee.
This clock is broken.	Disse Klock is kaputt.
This gift is for you.	Dat is en Geschenk för di.
This is all I can do.	Dat is allens, wat ik maken kann.
Those houses are big.	De Hüüs sünd groot.
Today is my birthday.	Vondaag is mien Geboortsdag.
We are at home today.	Vondaag sünd wi tohuus.
We've run out of tea.	Wi hebbt keen Tee mehr.
What a big boy he is!	Wat en groten Jung he is!
What day is it today?	Wat för ’n Dag hebbt wi vondaag?
Where are the plates?	Woneem sünd de Tellers?
Where's the restroom?	Woneem is de Toilett?
Where's your brother?	Woneem is dien Broder?
Who are those people?	Wat sünd dat för Lüüd?
Who planted the tree?	’Keen hett den Boom plant?
Who's coming with me?	’Keen kummt mit mi?
You can come with me.	Du kannst mitkamen.
You can't prove that.	Du kannst dat nich bewiesen.
You're such an idiot!	Du büst so en Dummbüdel!
Are you being serious?	Meenst du dat eernst?
Be kind to old people.	Wees nett to ole Lüüd.
Can I eat this orange?	Dröff ik disse Appelsien eten?
Cats don't like water.	Katten möögt keen Water.
Did you buy this book?	Hest du dit Book köfft?
Did you like the meal?	Hest du dat Eten mücht?
Do you believe in God?	Glöövst du an Godd?
Do you have a website?	Hest du en Websteed?
Do you know this song?	Kennst du dit Leed?
Does anybody know him?	Kennt em een?
Does he speak English?	Snackt he Engelsch?
Does she like oranges?	Mag se Appelsienen?
He admired my new car.	He deed mien nee Auto bewunnern.
He borrowed two books.	He hett twee Böker utlehnt.
He has just come back.	He is jüst trüggkamen.
He is always prepared.	He is jümmer praat.
He says he won't come.	He seggt, dat he nich kummt.
He speaks really well.	He snackt würklich good.
His dad calls him Tom.	Sien Vader nöömt em „Tom“.
How high can you jump?	Wo hoog kannst du springen?
I am not coming today.	Ik kaam vondaag nich.
I call her very often.	Ik roop ehr temlich faken an.
I can't drink alcohol.	Ik kann keen Alkohool drinken.
I can't stand cowards.	Ik kann Bangbüxen nich utstahn.
I can't wait any more.	Ik kann nich mehr töven.
I didn't see anything.	Ik heff nix sehn.
I don't care for eggs.	Ik mag Eier nich geern.
I don't care for eggs.	Ik mag keen Eier.
I don't drink alcohol.	Ik drink keen Alkohol.
I don't have time now.	Ik heff nu keen Tied.
I don't know his name.	Ik kenn sien Naam nich.
I explained it to him.	Ik heff em dat utdüüdt.
I have a large family.	Ik heff en grote Familie.
I have a lot of books.	Ik heff en Barg Böker.
I have a tourist visa.	Ik heff en Turistenvisum.
I have an old bicycle.	Ik heff en oold Fohrrad.
I have kidney trouble.	Ik heff dat mit de Neren.
I have nothing to say.	Ik heff nix to seggen.
I hid under the table.	Ik heff mi ünner ’n Disch versteken.
I hope you'll like it.	Ik hööp, dat gefallt jo.
I hope you'll like it.	Ik hööp, dat gefallt di.
I know where you live.	Ik weet, woneem du wahnst.
I learned it from you.	Ik heff dat von di lehrt.
I like milk and bread.	Ik mag Melk un Brood.
I like that it's soft.	Ik mag, dat dat so week is.
I like to play soccer.	Ik speel geern Football.
I must have dreamt it.	Ik mutt dat dröömt hebben.
I need to get a stamp.	Ik bruuk en Breevmark.
I rarely catch a cold.	Ik krieg kuum en Snööv.
I seldom speak to him.	Ik snack kuum mit em.
I used my imagination.	Ik heff miene Fantasie bruukt.
I want to eat a mango.	Ik will en Mango eten.
I work at the embassy.	Ik arbeid bi de Baadschop.
I'll make some coffee.	Ik maak en beten Kaffe.
I'm going to the bank.	Ik gah na de Bank.
I'm going to the park.	Ik gah in ’n Park.
I'm looking for a job.	Ik söök na en Arbeidssteed.
I'm not afraid at all.	Ik bün gornich bang.
I've made a discovery.	Ik heff wat opdeckt.
Is it really all over?	Is dat worraftig allens vörbi?
It was cold yesterday.	Güstern weer dat koold.
It was cold yesterday.	Dat weer güstern koold.
It's starting to rain.	Dat warrt regen.
Let the children play.	Laat de Kinner spelen.
Let's escape together.	Laat uns tohoop utkniepen.
Let's start with beer.	Laat uns mit Beer anfangen.
Lie on your left side.	Legg di op de linke Sied.
May I leave a message?	Kann ik en Naricht dorlaten?
Money rules the world.	Geld regeert de Welt.
My cat died yesterday.	Mien Katt is güstern doodbleven.
My underpants are wet.	Miene Ünnerbüx is natt.
None of us is perfect.	Nüms von uns is perfekt.
Our team won the game.	Uns Team hett den Weddstried wunnen.
She beat him to death.	Se hett em doodslahn.
She can sew very well.	Se kann temlich good neihn.
She handed him a book.	Se hett em en Book geven.
She has a pretty doll.	Se hett en smucke Popp.
She has lost all hope.	Se hett all Höpen opgeven.
She is afraid of cats.	Se is bang vör Katten.
She is afraid of dogs.	Se is bang vör Hunnen.
She is engaged to him.	Se is mit em verlöövt.
She never wears green.	Se driggt nie gröön.
She played basketball.	Se speel Basketball.
She speaks Portuguese.	Se snackt Portugeesch.
She wants to kiss him.	Se will em küssen.
She watched him dance.	Se keek em bi ’t Dansen to.
She's taller than him.	Se is grötter as he.
Something's not right.	Dor stimmt wat nich.
Tell me what you want.	Vertell mi, wat du wullt.
Tell me when to begin.	Segg mi, wenn ik anfangen schall.
The Amazon is a river.	De Amazonas is en Stroom.
The Milky Way is huge.	De Melkstraat is gewaltig groot.
The birds were hungry.	De Vagels weren hungerig.
The box was too heavy.	De Kist weer to swoor.
The boy bought a book.	De Jung hett en Book köfft.
The boy has come home.	De Jung is na Huus kamen.
The cat ate the mouse.	De Katt hett de Muus freten.
The heart is a muscle.	Dat Hart is en Muskel.
The hunter shot a fox.	De Jäger hett en Voss schaten.
The ice is very thick.	Dat Ies is düchtig dick.
The mountain is green.	De Barg is gröön.
The radio is too loud.	Dat Radio is to luud.
The soup is too salty.	De Supp is to solt.
The thief ran quickly.	De Deev lööp gau.
The world has changed.	De Welt hett sik ännert.
There's no sugar here.	Dor is keen Sucker.
This makes me curious.	Dat maakt mi neeschierig.
This pear smells nice.	De Beer rückt good.
Time is getting short.	De Tied warrt knapp.
Tom is bigger than me.	Tom is grötter as ik.
Tom is taller than me.	Tom is grötter as ik.
Tom ruined my weekend.	Tom hett mien Wekenenn rugeneert.
Tom scrubbed his feet.	Tom deed sien Fööt schrubben.
War broke out in 1941.	De Krieg füng 1941 an.
We are disturbing him.	Wi stöört em.
We had a little water.	Wi harrn en beten Water.
We lost a lot of time.	Wi hebbt veel Tied verloren.
We lost a lot of time.	Ei hebbt veel Tied verloren.
We're afraid of death.	Wi sünd bang vör ’n Dood.
What are you studying?	Wat studeerst du?
What did you do today?	Wat hest du vondaag maakt?
What you say is right.	Wat du seggst is wohr.
What's my room number?	Wat is mien Kamernummer?
What's your full name?	Wat is dien vullen Naam?
Where are you heading?	Wo geihst du hen?
Where is your brother?	Woneem is dien Broder?
Who will come with me?	’Keen kummt mit mi?
Who wrote these poems?	’Keen hett disse Riemels schreven?
Who wrote this letter?	’Keen hett dissen Breev schreven?
Why did you come here?	Worüm büst du hier herkamen?
Why has this happened?	Worüm is dat passeert?
You need to follow me.	Du musst mit mi kamen.
You recovered quickly.	Du hest di gau verhaalt.
You've made a mistake.	Du hest en Fehler maakt.
A mosquito just bit me.	En Moskito hett mi jüst staken.
A wolf cannot be tamed.	En Wulv kann nich tähmt warrn.
All roads lead to Rome.	All Weeg föhrt na Room.
Are they looking at us?	Kiekt se na uns?
Are you feeling lonely?	Föhlst du di eensaam?
Better late than never.	Lever laat as nie!
Could I use your phone?	Dröff ik dien Telefoon bruken?
Did you enjoy the film?	Hett di de Film gefallen?
Did you like the movie?	Hett di de Film gefallen?
