Who?	Hvem?
I was married once.	Jeg har vært gift en gang.
I wasn't dishonest.	Jeg var ikke uærlig.
I wish I were rich.	Jeg skulle ønske jeg var rik.
I'm busy right now.	Jeg har det travelt for tiden.
I'm not going back.	Jeg går ikke tilbake.
I'm not illiterate.	Jeg er ikke analfabet.
I'm reading a book.	Jeg leser ei bok.
I'm selling my car.	Jeg skal selge bilen min.
I'm still in shock.	Jeg er fremdeles i sjokk.
I'm terribly sorry.	Jeg er veldig lei meg.
Is this book yours?	Er denne boken din?
Is this your money?	Er dette dine penger?
It happened before.	Det har skjedd før.
It is a long story.	Det er en lang historie.
It keeps happening.	Det fortsetter med å skje.
It looks like rain.	Det ser ut til å bli regn.
It really happened.	Det skjedde virkelig.
It was just a kiss.	Det var bare et kyss.
It was quite funny.	Det var ganske morsomt.
It'll be all right.	Det kommer til å gå bra.
It's a good school.	Det er en god skole.
It's a pretty flag.	Det er et fint flagg.
It's snowing again.	Det snør igjen.
It's very cold now.	Det er veldig kaldt nå.
Leave my car alone.	La bilen min være i fred.
Let me explain why.	La meg forklare hvorfor.
Let me handle this.	La meg ta meg av dette.
May I run with you?	Kan jeg løpe med deg?
Maybe it was a cat.	Kanskje det var en katt.
My wife hates cats.	Konen min hater katter.
Schools are closed.	Skolene er stengt.
She has green eyes.	Hun har grønne øyne.
She is unconscious.	Hun er bevistløs.
She left me a note.	Hun etterlot meg en beskjed.
She made me a cake.	Hun bakte en kake til meg.
She made me a star.	Hun gjorde meg til stjerne.
She was kind to me.	Hun var snill mot meg.
She's an alcoholic.	Hun er alkoholiker.
She's thirty-three.	Hun er trettitre.
Something happened.	Noe skjedde.
Stop being so nice.	Slutt å være så snill.
That can't be true.	Det kan ikke være sant.
That didn't happen.	Det skjedde ikke.
That doll is scary.	Den dokken er skummel.
That house is mine.	Det huset er mitt.
The fog has lifted.	Tåken har lettet.
The window is open.	Vinduet er åpent.
This chair is ugly.	Denne stolen er stygg.
Tom didn't need it.	Tom trengte det ikke.
Tom didn't need it.	Tom trengte den ikke.
Tom has my support.	Jeg støtter Tom.
Tom is quite happy.	Tom er ganske glad.
Tom is quite happy.	Tom er ganske lykkelig.
Tom is really fast.	Tom er veldig rask.
Tom is with me now.	Tom er med meg nå.
Tom isn't my enemy.	Tom er ikke min fiende.
Tom isn't sleeping.	Tom sover ikke.
Tom sang with Mary.	Tom sang med Mary.
Tom was a good man.	Tom var en god mann.
Tom was my student.	Tom var min elev.
Tom won't go alone.	Tom vil ikke gå hjem alene.
Tom's dog bit Mary.	Hunden til tom bet Mary.
Tom's hat blew off.	Toms hatt blåste vekk.
We just ate dinner.	Vi spiste akkurat middag.
We kept them quiet.	Vi holdt dem rolige.
We're in agreement.	Vi er enige.
We're pretty smart.	Vi er ganske smarte.
What are you doing?	Hva gjør du?
What are you doing?	Hva gjør du på?
What are you doing?	Hva driver du med?
What are you doing?	Hva holder du på med?
What came over you?	Hva var det du tenkte på?
What did you reply?	Hva svarte du?
When were you born?	Når er du født?
When's the wedding?	Når er bryllupet?
Where are you from?	Hvor kommer du fra?
Where are you from?	Hvor er du fra?
Which is your book?	Hvilken er din bok?
Who is this person?	Hvem er dette?
Who is visiting us?	Hvem skal besøke oss?
Who shall I choose?	Hvem skal jeg velge?
Who's your teacher?	Hvem er læreren din?
Whose room is this?	Hvem sitt rom er dette?
Why can't you come?	Hvorfor kan du ikke komme?
Why isn't Tom here?	Hvorfor er ikke Tom her?
Write me a message.	Skriv meg en melding.
You are very brave.	Du er veldig modig.
You aren't helping.	Du hjelper ikke.
You broke your arm.	Du brakk armen.
You broke your leg.	Du brakk foten.
You can let Tom go.	Du kan la Tom gå.
You can let Tom go.	Du kan la Tom få gå.
You can study here.	Du kan studere her.
You can use my car.	Du kan bruke bilen min.
You can't get away.	Du kan ikke komme deg unna.
You can't run away.	Du kan ikke springe bort.
You cannot do this.	Du kan ikke gjøre dette.
You didn't help me.	Du hjalp meg ikke.
You guys look lost.	Det ser ut som dere har gått dere vill.
You guys wait here.	Vent her, dere.
You guys wait here.	Dere venter her.
You had a long day.	Du hadde en lang dag.
You have a problem.	Du har et problem.
You have cute eyes.	Du har pene øyne.
You have to let go.	Du må slippe taket.
You just need help.	Du trenger bare hjelp.
You know the rules.	Du kan reglene.
You look very nice.	Du ser veldig bra ut.
You look very pale.	Du ser så blek ut.
You look very pale.	Du ser veldig blek ut.
You must be polite.	Du må være høflig.
You taught me that.	Du lærte meg det.
You're a smart boy.	Du er en smart gutt.
You're just a girl.	Du er bare ei jente.
You're not helping.	Du hjelper ikke.
You've got a fever.	Du har feber.
You've got to hide.	Du må gjemme deg.
Are you about ready?	Er du omtrent klar?
Are you accusing me?	Anklager du meg?
Are you ready to go?	Er du klar til å gå?
Are you ready to go?	Er du klar for å gå?
Be careful in there.	Vær forsiktig der inne.
Can you drive a car?	Kan du kjøre bil?
Can you play guitar?	Kan du spille gitar?
Could you sign here?	Kan du signere her?
Did you leave a tip?	Tipset du?
Do it while you can.	Gjør det mens du kan.
Do you keep a diary?	Fører du dagbok?
Do you keep a diary?	Skriver du dagbok?
Do you need a spoon?	Trenger du en skje?
Do you watch movies?	Ser du vanligvis på film?
Don't touch my bike.	Ikke rør sykkelen min.
Dry wood burns well.	Tørr ved brenner godt.
Enjoy your vacation.	Nyt ferien din.
Give me what I want.	Gi meg det jeg vil ha.
Have a nice evening.	Ha en fin kveld.
Have a nice evening.	Ha en god aften.
He climbed Mt. Fuji.	Han besteg Mt. Fuji.
He got on the train.	Han gikk på toget.
He had his hair cut.	Han fikk håret klippet.
He has a big family.	Han har en stor familie.
He has a deep voice.	Han har dyp stemme.
He has a loud voice.	Han har høy stemme.
He is very sociable.	Han er veldig omgjengelig.
He needs that money.	Han trenger de pengene.
He never tells lies.	Han lyger aldri.
He never tells lies.	Han lyver aldri.
He works for a bank.	Han jobber for en bank.
He's afraid of dogs.	Han er redd for hunder.
He's got a headache.	Han har hodepine.
His bicycle is blue.	Sykkelen hans er blå.
Honesty is a virtue.	Ærlighet er en dyd.
I am afraid of dogs.	Jeg er redd for hunder.
I am reading a book.	Jeg leser ei bok.
I am short of money.	Jeg har ikke nok penger.
I built a new house.	Jeg bygget et nytt house.
I can't see a thing.	Jeg kan ikke se noe.
I couldn't call you.	Jeg kunne ikke ringe deg.
I did it on purpose.	Jeg gjorde det med vilje.
I didn't catch that.	Jeg fikk det ikke med meg.
I don't like coffee.	Jeg liker ikke kaffe.
I don't like movies.	Jeg liker ikke filmer.
I find swimming fun.	Jeg synes svømming er gøy.
I forgot about that.	Det glemte jeg.
I forgot to ask him.	Jeg glemte å spørre ham.
I give you my heart.	Jeg gir deg mitt hjerte.
I hate living alone.	Jeg hater å bo alene.
I have a boring job.	Jeg har en kjedelig jobb.
I have a dictionary.	Jeg har en ordbok.
I have bad eyesight.	Jeg har dårlig syn.
I have been to Rome.	Jeg har vært i Roma.
I have many enemies.	Jeg har mange fiender.
I have many friends.	Jeg har mange venner.
I have no allergies.	Jeg har ingen allergier.
I have no neighbors.	Jeg har ingen naboer.
I have to stay home.	Jeg bør bli hjemme.
I hid in the closet.	Jeg gjemte meg i skapet.
I know it's illegal.	Jeg vet at det er ulovlig.
I know none of them.	Jeg kjenner ingen av dem.
I make €100 a day.	Jeg tjener 100 euro om dagen.
I make €100 a day.	Jeg tjener hundre euro per dag.
I must do something.	Jeg må gjøre noe.
I never even saw it.	Jeg så det aldri engang.
I read a book today.	Jeg leste en bok i dag.
I see you are ready.	Jeg ser du er klar.
I study mathematics.	Jeg studerer matematikk.
I want to hear this.	Jeg vil høre dette.
I want to keep this.	Jeg vil beholde dette.
I want your opinion.	Jeg vil ha din mening.
I was aware of that.	Jeg var klar over det.
I will be back soon.	Jeg er straks tilbake.
I will be back soon.	Jeg er snart tilbake.
I will miss you all.	Jeg vil savne dere alle sammen.
I wish I could swim.	Jeg skulle ønske jeg kunne svømme.
I'll never help you.	Jeg vil aldri hjelpe deg.
I'm a tennis player.	Jeg er tennisspiller.
I'm bad at swimming.	Jeg er dårlig til å svømme.
I'm blind, not deaf.	Jeg er blind, ikke døv.
I'm counting on you.	Jeg stoler på deg.
I'm drinking coffee.	Jeg drikker kaffe.
I'm good at singing.	Jeg er god til å synge.
I'm not incompetent.	Jeg er ikke inkompetent.
I'm very hungry now.	Jeg er veldig sulten nå.
I've been very busy.	Jeg har vært veldig opptatt.
I've changed my job.	Jeg har skiftet jobb.
I've lost my wallet.	Jeg har mistet lommeboken min.
Is it far from here?	Er det langt herfra?
Is this seat vacant?	Er dette setet ledig?
It was really cheap.	Det var veldig billig.
Just tell the truth.	Bare si sannheten.
Keep your eyes open.	Hold øynene åpne.
Let's try something.	La oss prøve noe.
Monkeys climb trees.	Aper klaterer i trær.
My family loved Tom.	Familien min elsket Tom.
My room is a pigsty.	Rommet mitt er en svinesti.
Now eat your supper.	Spis middagen din nå.
Put on this sweater.	Ta på denne genseren.
She cannot stop him.	Hun kan ikke stoppe ham.
She has no brothers.	Hun har ingen brødre.
She seldom goes out.	Hun går sjelden ut.
She still loved him.	Hun elsket ham fremdeles.
She wants a new hat.	Hun vil ha en ny hatt.
She's strong-willed.	Hun er viljesterk.
Something is coming.	Noe er i ferd med å skje.
Take off your socks.	Ta av deg sokkene.
That was my promise.	Det var det jeg hadde lovet.
That's a long story.	Det er en lang historie.
That's all I've got.	Det er alt jeg har.
The computer is new.	Datamaskinen er ny.
The dog is sleeping.	Hunden sover.
The forest was dark.	Skogen var mørk.
The group disbanded.	Gruppen oppløste seg.
The meat was tender.	Kjøttet var mørt.
The ship is sinking.	Skipet synker.
The wind has abated.	Vinden har roet seg.
There's no solution.	Det er ingen løsning.
These are the rules.	Dette er reglene.
This novel bores me.	Denne romanen kjeder meg.
Tom could be insane.	Det er mulig at Tom er gal.
Tom did a great job.	Tom gjorde et fantastisk arbeid.
Tom didn't blame me.	Tom skyldte ikke på meg.
Tom has a black eye.	Tom har et blått øye.
Tom is a consultant.	Tom er konsulent.
Tom is a good coach.	Tom er en god trener.
Tom is a strong guy.	Tom er en sterk fyr.
Tom is a strong guy.	Tom er en sterk kis.
Tom is a strong guy.	Tom er en sterk type.
Tom is a strong kid.	Tom er et sterkt barn.
Tom is already home.	Tom er allerede hjemme.
Tom is between jobs.	Tom er arbeidsløs.
Tom is not an idiot.	Tom er ikke en idiot.
Tom is really quiet.	Tom er veldig stille.
Tom kept on walking.	Tom fortsatte å gå.
Tom never lost hope.	Tom ga aldri opp håpet.
Tom refuses to talk.	Tom nekter å snakke.
Tom taught me a lot.	Tom lærte meg mye.
Tom wasn't flirting.	Tom flørtet ikke.
Tom yelled for help.	Tom ropte etter hjelp.
Tom's not breathing.	Tom puster ikke mer.
We can't allow this.	Vi kan ikke tillate dette.
We washed our hands.	Vi vasket hendene våre.
We're still talking.	Vi snakker fortsatt.
What are you baking?	Hva baker du?
What did you answer?	Hva svarte du?
What is on the desk?	Hva ligger på skrivebordet?
What is popular now?	Hva er populært nå?
What lovely weather!	For et herlig vær!
When did you get up?	Når stod du opp?
When will you leave?	Når drar du?
When will you leave?	Når går du?
Where are you going?	Hvor skal du?
Where have you been?	Hvor har du vært?
Where is the toilet?	Hvor er toalettet?
Where's your friend?	Hvor er vennen din?
Where's your school?	Hvor er skolen din?
Who is your teacher?	Hvem er læreren din?
Who owns that house?	Hvem eier det huset?
Why is Tom not here?	Hvorfor er ikke Tom her?
You can rely on him.	Du kan stole på ham.
You have to help us.	Du må hjelpe oss.
You knew I was here.	Du visste at jeg var her.
You know why I left.	Du vet hvorfor jeg dro.
You know, don't you?	Du vet, gjør du ikke?
You look very tired.	Du ser veldig trøtt ut.
You may go home now.	Nå kan du gå hjem.
You may not come in.	Du får ikke komme inn.
You should call Tom.	Du burde ringe Tom.
You'd better not go.	Du bør ikke gå.
You're irresistible.	Du er uimotståelig.
You're just in time.	Du er akkurat tidsnok.
You're not too late.	Dere er ikke for seine.
You're still my son.	Du er fortsatt sønnen min.
You're way too late.	Du er alt for sen.
Anyone could do that.	Hvem som helst kunne gjort det.
Are you almost ready?	Er du nesten klar?
Are you ready to eat?	Er du klar for å spise?
Are you ready to fly?	Er du klar til å fly?
Are your hands clean?	Er hendene dine rene?
Can you speak French?	Kan du snakke fransk?
Do they like oranges?	Liker de appelsiner?
Do you have any pets?	Har du kjæledyr?
Do you speak Chinese?	Snakker du kinesisk?
Do you study English?	Studerer du engelsk?
Do you talk about us?	Snakker du om oss?
Do you talk about us?	Snakker dere om oss?
Don't eat like a pig.	Ikke spis som en gris.
Don't go there alone.	Ikke gå dit alene.
Don't go there alone.	Ikke gå der alene.
Don't pass out on me.	Ikke besvim.
Don't worry about us.	Ikke bekymre deg for oss.
Everything's changed.	Alt har forandret seg.
Finally, it's Friday.	Endelig er det fredag.
Go and see who it is.	Gå og se hvem det er.
Go back to your seat.	Gå tilbake til plassen din.
Good night, everyone!	God natt, alle sammen!
Guys are predictable.	Gutter er forutsigbare.
Have a pleasant trip.	God tur.
Have you finished it?	Har du gjort det ferdig?
Have you lost weight?	Har du gått ned i vekt?
He committed suicide.	Han begikk selvmord.
He did nothing wrong.	Han gjorde ingenting feil.
He didn't say a word.	Han sa ikke et ord.
He has a few friends.	Han har et par venner.
He has a foreign car.	Han har en utenlandsk bil.
He has a good memory.	Han har god hukommelse.
He is about your age.	Han er omtrent på din alder.
He is afraid of dogs.	Han er redd for hunder.
He is good at tennis.	Han er god i tennis.
He is reading a book.	Han leser ei bok.
He isn't here, is he?	Han er ikke her, sant?
He misses his family.	Han savner familien sin.
He often plays piano.	Han spiller ofte piano.
He was an honest man.	Han var en ærlig mann.
Hey you, don’t run!	Hei du, ikke løp!
How can you say that?	Hvordan kan du si det?
How is your daughter?	Hvordan går det med dattera di?
How was today's test?	Hvordan var prøven i dag?
I admire his courage.	Jeg beundrer motet hans.
I am a tennis player.	Jeg er tennisspiller.
I am going to school.	Jeg skal på skolen.
I am no longer tired.	Jeg er ikke trøtt lenger.
I asked for his help.	Jeg ba om hans hjelp.
I asked for his help.	Jeg ba han om hjelp.
I ate too much today.	Jeg spiste for mye i dag.
I borrowed Tom's car.	Jeg lånte bilen til Tom.
I called my attorney.	Jeg ringte min advokat.
I can swim very fast.	Jeg kan svømme veldig fort.
I don't like cookies.	Jeg liker ikke kaker.
I don't mind anymore.	Jeg bryr meg ikke lenger.
I don't mind waiting.	Jeg kan godt vente.
I found him the book.	Jeg fant boken til han.
I get off there, too.	Jeg går av der også.
I guess you're right.	Du har vel rett.
I had an inspiration.	Jeg hadde en inspirasjon.
I hard-boiled an egg.	Jeg hardkokte et egg.
I have a stomachache.	Jeg har vondt i magen.
I have three cameras.	Jeg har tre kameraer.
I have two daughters.	Jeg har to døtre.
I just took a shower.	Jeg var nettopp i dusjen.
I know what you mean.	Jeg vet hva du mener.
I need a new bicycle.	Jeg trenger en ny sykkel.
I need to read a lot.	Jeg må lese mye.
I never even saw Tom.	Jeg så aldri Tom engang.
I never even saw you.	Jeg så deg aldri engang.
I regret going there.	Jeg angrer på å ha dratt dit.
I think you know why.	Jeg tror du vet hvorfor.
I think you're right.	Jeg tror du har rett.
I walked up the hill.	Jeg gikk opp bakken.
I want a lot of them.	Jeg vil ha mange av dem.
I want an MP3 player!	Jeg vil ha MP3-spiller!
I wanted to remember.	Jeg ville huske.
I wish Tom were dead.	Jeg skulle ønske Tom var død.
I wish this was over.	Jeg skulle ønske dette var over.
I wish this was over.	Jeg skulle ønske dette var ferdig.
I'll admit I'm wrong.	Jeg innrømmer at jeg tok feil.
I'll be watching you.	Jeg vil holde et øye med deg.
I'll be watching you.	Jeg kommer til å holde et øye med deg.
I'll buy you a drink.	Jeg kjøper deg en drink.
I'll give you a book.	Jeg skal gi deg en bok.
I'm Mary's boyfriend.	Jeg er kjæresten til Mary.
I'm an archaeologist.	Jeg er arkeolog.
I'm depending on you.	Jeg stoler på deg.
I'm doing my laundry.	Jeg vasker klærne mine.
I'm glad you're safe.	Jeg er glad du er trygg.
I'm not disorganized.	Jeg er ikke uorganisert.
I'm perfectly normal.	Jeg er helt normal.
I'm studying English.	Jeg studerer engelsk.
I'm sure I'll manage.	Jeg er sikker på at jeg vil klare meg.
I'm walking with her.	Jeg går sammen med henne.
I've got a good idea.	Jeg har en god idé.
I've had it with him.	Jeg har fått nok av han.
I've had it with you.	Jeg har fått nok av deg.
I've lost my car key.	Jeg har mistet bilnøklene mine.
I've made up my mind.	Jeg har bestemt meg.
Ignore what Tom said.	Ikke bry deg om hva Tom sa.
Ignore what Tom said.	Ignorér hva Tom sa.
Is Tom at your place?	Er Tom hos deg?
Is this your bicycle?	Er dette din sykkel?
It glows in the dark.	Den lyser i mørket.
It happened suddenly.	Det skjedde plutselig.
It is very hot today.	Det er veldig varmt i dag.
It took half an hour.	Det tok en halvtime.
It's a waste of time.	Det er bortkastet tid.
Keep your voice down.	Snakk lavere.
May I ask a question?	Kan jeg stille et spørsmål?
May I ask a question?	Kan jeg spørre deg om noe?
May I go out to play?	Kan jeg gå ut og leke?
May I take a message?	Kan jeg ta en beskjed?
Mission accomplished.	Oppdrag utført.
Money does not smell.	Penger lukter ikke.
My house was on fire.	Huset mitt sto i brann.
My house was on fire.	Huset mitt stod i brann.
