Who?	چه کسی؟
I loosened my shoelaces.	من بند کفشم را شل کردم.
I showed my room to him.	اتاق‌ام را به او نشان دادم.
I'd better not eat that.	ترجیح می دهم که نخورمش.
I'll catch the next bus.	سوار اتوبوس بعدی می شوم.
I'll do it by all means.	با کمال میل این کار را خواهم کرد.
I'll wait right outside.	من همین بیرون منتظر می مونم.
I'm feeling much better.	حال به مراتب بهتری دارم.
I'm good at mathematics.	من در ریاضیات مهارت دارم.
I'm sorry to bother you.	ببخشید که اذیتت کردم.
I've forgotten his name.	نام او را فراموش کردم.
It wasn't an aberration.	این غیر عادی نبود.
It'll be Christmas soon.	به زودی کریسمس می شود.
It's not rocket science.	کار چندان سختی نیست.
Looks aren't everything.	ظاهر و قیافه همه چیز نیست.
Mary has her back to us.	مری به ما پشت کرده است.
Measure twice, cut once.	دو بار اندازه بگیر، یک بار ببر.
My mother set the table.	مادرم میز را چید.
My strength is all gone.	تمام توانایی من از دست رفته است.
Please pass me the salt.	لطفا نمک را به من بده.
She gave us lots to eat.	او مقدار زیادی خوردنی به ما داد.
She'll succeed for sure.	او قطعاً موفق خواهد شد.
Take whichever you want.	هر وقت می خواهی بگیر.
Tell me when he returns.	به من بگو کی او بازخواهد گشت.
The car turned abruptly.	ماشین ناگهانی پیچید.
The house was in flames.	خانه شعله ور شده بود.
The law should be clear.	قانون باید روشن باشد.
The negotiations failed.	مذاکرات شکست خورد.
The weather is very hot.	هوا بسیار گرم است.
There is no breeze here.	اینجا بادی نیست.
This fish is not edible.	این ماهی خوراکی نیست.
This is a very old book.	این یک کتاب بسیار قدیمی است.
This plant isn't edible.	این گیاه خوردنی نیست.
Tom came up with a plan.	نقشه ای به ذهن تام رید.
Tom is taller than Mary.	تام بلندقدتر از ماری است.
Tom is thirty years old.	تام سی ساله است.
Tom is young and single.	نام جوان و مجرد است.
Two plus two makes four.	دو بعلاوه دو می شود چهار.
Wash your hands, please.	لطفا دستهایت را بشور.
What are you doing here?	اینجا چه می کنی؟
What have we overlooked?	ما چه چیزی را نادیده گرفته‌ایم؟
Where are you taking me?	داری من را کجا می‌بری؟
Yes, I have a good idea.	بله، من یک ایده ی خوب دارم.
You can't swim, can you?	نمی توانی شنا کنی، می تونی؟
You go to school, right?	مدرسه که می‌روی، درست است؟
You two are really kind.	شما دو نفر واقعاً مهربان هستید.
You're absolutely right.	حق کاملاً با شماست.
You're driving too fast.	شما زیاد تند می‌رانید.
Your efforts are futile.	تلاشهایت بیهوده هستند.
A tea with lemon, please.	یک چای با لیمو، لطفاً.
All of you did good work.	کار همه‌تان خوب بود.
Are my socks dry already?	آیا جوراب هایم خشک شده اند؟
Are you writing a letter?	داری نامه می نویسی؟
Can you do it in one day?	میتونی اینو در یک روز انجام بدی
Did you do your homework?	آیا تکالیفت را انجام داده بودی؟
Did you put on sunscreen?	ضد آفتاب زدی؟
Don't tell me what to do.	به من نگو چه کار کنم.
Flour is made from wheat.	آرد از گندم به دست می آید.
He repeated his question.	او سؤالش را تکرار کرد.
He was too old to resist.	او برای مقاومت کردن خیلی پیر است.
He went to Boston by car.	او با ماشین به بوستون رفت.
He will love her forever.	او برای همیشه عاشق او خواهد بود.
Hello, how are you doing?	سلام حالت چطوره؟
Hello, how are you doing?	سلام،حال شما چه طور است؟
Her house is very modern.	خانه‌ی او خیلی مدرن است.
His house is very modern.	خانه‌ی او خیلی مدرن است.
How long do we stop here?	چند مدت ما اینجا توقف می کنیم؟
How much do you like Tom?	چقدر تام را دوست داری؟
How much will you pay us?	چقدر شما به ما پرداخت خواهید کرد؟
Hunting is forbidden now.	الآن شکار ممنوع است.
I admit that I was wrong.	می پذیرم که خطا کردم.
I agree to your proposal.	من تقاضایت را می پذیرم.
I am acquainted with him.	من با او آشنا هستم.
I can't talk with people.	من نمی توانم با مردم صحبت کنم.
I can't tie my shoelaces.	من نمی‌توانم بند کفشم را ببندم.
I don't feel like it now.	الان حس و حالش رو ندارم.
I don't like any of this.	من هیچ یک از اینها را دوست ندارم.
I don't like you anymore.	من دیگر تو را دوست ندارم.
I don't want to hurt you.	من نمی خواهم به تو آسیبی بزنم.
I felt much more relaxed.	من خیلی بیشتر احساس آرامش می کردم.
I got soaked to the skin.	تا مغز استخوان خیس شدم.
I met a friend of Mary's.	من یکی از دوستان مری را ملاقات کردم.
I practice what I preach.	من به آنچه موعظه می‌کنم عمل می‌کنم.
I telephoned her at once.	من بی درنگ به او تلفن کردم.
I want to find true love.	من می‌خواهم عشق حقیقی را پیدا کنم.
I will never do it again.	من هرگز دوباره انجامش نخواهم داد.
I'll be there in a while.	برای مدت کوتاهی اینجا می مانم.
I'm learning how to type.	من دارم یاد می گیرم که چگونه تایپ کنم.
Is there any room for me?	جایی برای من وجود دارد؟
It's a quarter past nine.	ساعت یک ربع بعد از نه است.
It's on the eighth floor.	در طبقه‌ی هشتم واقع است.
Let's pass by the church.	بگذار از کنار کلیسا بگذریم.
My favorite color is red.	رنگ دوست داشتنی من قرمز است.
My son is taller than me.	پسرم قدبلند تر از من است.
She has seen better days.	او روزهای بهتری را شاهد بوده است.
She's wearing a nice hat.	او کلاه زیبایی پوشیده است.
South Africa is far away.	آفریقای جنوبی دور است.
Sport transcends borders.	ورزش فراتر از مرز است.
That CD costs 10 dollars.	قیمت آن سی دی 10 دلار است.
That's an obsolete model.	آن یک مدل منسوخ شده است.
The damage has been done.	خسارت وارد شده است.
The food is getting cold.	غذا سرد شد.
The vase is on the table.	گلدان روی میز است.
There is a knife missing.	یک چاقو گم شده است.
There is a test tomorrow.	فردا امتحان داری؟
They are as strong as us.	آنها به اندازه ما قوی اند.
They became good friends.	آنها دوستان خوبی شدند.
This knife is very sharp.	این چاقو خیلی تیز است.
Tom can swim like a fish.	تام می توان مانند یک ماهی شنا کند.
Tom didn't shoot anybody.	تام به کسی شلیک نکرد.
Tom said he had to split.	تام گفت او مجبور است برود.
What does that word mean?	آن کلمه چه معنایی دارد؟
What is he running after?	او به دنبال چه چیزی می دود؟
When did you get married?	کی ازدواج کردید؟
Who is playing the piano?	چه کسی پیانو می نوازد؟
Why do you want this job?	چرا این کار را می خواهی؟
Why does that bother you?	چرا این اذیتت میکنه?
You are completely right.	حق کاملاً با شماست.
You have beautiful hands.	تو دستهای زیبایی داری.
You need to be proactive.	شما احتیاج دارید پیش‌فعال باشید.
A burnt child dreads fire.	مار گزیده از ریسمان سیاه و سفید می‌ترسد.
Air is a mixture of gases.	هوا مخلوطی از گازها است.
Are they actually friends?	آنها واقعا با هم دوستند?
Be kind to little animals.	مهربان باش با حیوانات کوچک.
Call me whenever you want.	هروقت تونستی بهم زنگ بزن
Do you eat rice every day?	آیا هر روز برنج می‌خوری؟
Do you like Japanese food?	آیا شما غذاهای ژاپنی را دوست دارید؟
Do you want to go with us?	شما می خواهید که با ما بروید؟
Every rose has its thorns.	گل بی خار نمی‌شود.
Everybody seeks happiness.	همه به دنبال خوشبختی هستند.
Everything is on schedule.	همه چیز طبق برنامه است.
Exceptions prove the rule.	استثناها قاعده را توجیه می کنند.
Falcons are birds of prey.	بازها پرندگان شکاری هستند.
Has Tom ever been married?	آیا تام تا کنون ازدواج کرده است؟
Have you put on sunscreen?	ضد آفتاب زده ای ؟
He arrived safe and sound.	او به‌سلامت رسید.
He doesn't understand you.	او تو را درک نمی کند.
He got good marks in math.	او در ریاضیات نمرات خوبی گرفت.
He is anything but a fool.	او اصلاً احمق نیست.
He seems to be wary of us.	به نظر می آید او نسبت به ما محتاط است.
He was appointed chairman.	او به ریاست منصوب شد.
How do you heat the house?	چه طور خانه را گرم می کنی؟
I asked Tom to keep quiet.	من از تام خواستم ساکت بماند.
I bought a pair of gloves.	من یک جفت دستکش خریدم.
I bought a red sports car.	من یک ماشین اسپورت قرمز خریدم.
I can't remember anything.	نميتوانم چیزی را بخاطر بیاورم
I don't have any brothers.	من هیچ برادری ندارم.
I don't trust you anymore.	دیگر بهت اعتماد ندارم.
I fell asleep watching TV.	در حین نگاه کردن تلویزیون خوابم برد.
