Run!	Chạy!
I can't believe it.	Tôi không thể tin được.
I can't work today.	Hôm nay tôi không thể làm việc.
I don't need a bed.	Tôi không cần giường.
I don't trust them.	Tôi không tin họ.
I don't trust them.	Tôi không tin tưởng bọn họ.
I don't understand.	Tôi không hiểu.
I dreamt about you.	Tôi mơ đến bạn.
I dropped my apple.	Tôi đã đánh rơi quả táo của mình.
I give you my word.	Tôi hứa.
I got Tom to do it.	Tôi bảo Tom làm rồi.
I have to see this.	Tôi phải nhìn thấy nó
I helped Tom do it.	Tôi đã giúp Tom làm điều đó.
I helped Tom do it.	Tôi đã giúp Tom làm việc đó.
I hope you like it.	Hy vọng bạn thích nó.
I like candlelight.	Tôi thích ánh nến.
I love Korean food.	Tôi rất thích món ăn Hàn Quốc.
I love Korean food.	Tôi cực kỳ thích ẩm thực Hàn Quốc.
I loved that house.	Tôi yêu căn nhà đó.
I made Tom do that.	Tôi đã bắt Tom làm điều đó.
I made Tom do that.	Tôi đã bắt Tom làm việc đó.
I need your advice.	Tôi cần lời chỉ bảo của bạn.
I walked to school.	Tôi đi bộ đến trường.
I walked to school.	Tôi đi bộ tới trường.
I was playing here.	Tôi đã chơi ở đây.
I won't come today.	Hôm nay tôi sẽ không đến.
I won't come today.	Hôm nay tôi sẽ không tới.
I won't come today.	Tôi sẽ không đến hôm nay.
I won't come today.	Tôi sẽ không tới hôm nay.
I wrote it for Tom.	Tôi đã viết nó cho Tom.
I'm a photographer.	Tôi là một phó nháy.
I'm in the library.	Tôi đang ở trong thư viện.
I'm not illiterate.	Tôi không phải người mù chữ.
I'm not your enemy.	Tôi không phải là kẻ thù.
I'm still in shock.	Tôi vẫn đang bị sốc.
I'm writing a book.	Tôi đang viết một cuốn sách.
I'm your assistant.	Tôi là trợ lý của bạn.
Is Tom unconscious?	Tom có tỉnh không?
Is she your sister?	Cô ấy là em gái bạn à?
It'll be all right.	Sẽ ổn thôi.
It's a lovely idea.	Một ý tưởng đáng yêu.
It's about to rain.	Có lẽ là trời sắp mưa.
It's about to rain.	Chắc có lẽ trời sắp mưa rồi.
It's going to rain.	Chắc có lẽ trời sắp mưa rồi.
Knowledge is power.	Tri thức là sức mạnh.
Let's get divorced.	Chúng ta ly hôn đi.
Let's get divorced.	Chúng mình ly hôn đi.
Let's get divorced.	Hay là chúng ta ly hôn đi.
My right leg hurts.	Tôi đau chân phải.
Please don't stand.	Xin đừng đứng lên.
She has green eyes.	Cô ấy có mắt xanh.
She has green eyes.	Cô ấy có đôi mắt xanh.
She is always busy.	Chị ấy lúc nào cũng rất bận.
She is really cute.	Cô ấy thực sự dễ thương.
Show me an example.	Hãy cho tôi một ví dụ.
Somebody's singing.	Có ai đó đang hát.
Someone is singing.	Có ai đó đang hát.
Take a sip of this.	Hãy nhấp thử một ngụm.
Take a sip of this.	Nhấp thử một ngụm đi.
That is intriguing.	Cái đó nhìn hấp dẫn.
That's a good idea!	Đó là một ý kiến hay!
That's a good idea!	Đó là một ý tưởng hay!
That's a good idea!	Ý hay đấy!
That's not my call.	Đó không phải là quyết định của tôi.
The dog is barking.	Con chó đang sủa.
They both did well.	Cả hai người họ đều đã làm tốt.
They both did well.	Hai người đó đều đã làm tốt.
They're not hungry.	Họ không đói.
This is remarkable.	Điều này thật đáng chú ý.
This isn't a tiger.	Đó không phải là một con hổ.
This knife is dull.	Cái dao này bị cùn.
This knife is dull.	Chiếc dao này bị cùn.
Tom agreed to help.	Tom đã đồng ý giúp đỡ.
Tom almost drowned.	Tom suýt (mém) bị đuối nước.
Tom can barely see.	Tom hầu như không nhìn thấy gì.
Tom does good work.	Tom làm việc tốt.
Tom fell backwards.	Tom đã ngã ra sau.
Tom is a cat lover.	Tom là một người yêu mèo.
Tom is a hillbilly.	Tom là dân nhà quê.
Tom is a socialist.	Tom là một người chủ nghĩa xã hội.
Tom is on the roof.	Tom đang ở trên mái nhà.
Tom is such a hunk.	Tom quả là một người đàn ông lực lưỡng.
Tom isn't the best.	Tom không phải là số một.
Tom isn't the best.	Tom không phải là người giỏi nhất.
Tom killed himself.	Tom đã tự sát.
Tom killed himself.	Tom đã tự tử.
Tom killed himself.	Tom đã tự vẫn.
Tom likes to drink.	Tom thích uống.
Tom lost his phone.	Tom đánh mất điện thoại.
Tom read the Bible.	Tom đọc Kinh Thánh.
Tom says he's busy.	Tom nói anh ấy bận.
Tom stayed with me.	Tom ở lại với tôi.
Tom was frightened.	Tom đã rất hoảng sợ.
Tom was not famous.	Tom không nổi tiếng.
Tom went on a trip.	Tom đã đi du lịch.
Tom's gun misfired.	Khẩu súng của Tom bị cướp cò.
Tom, where are you?	Tom ơi, bạn đang ở đâu?
Tomorrow is Sunday.	Ngày mai là Chủ nhật.
We can rely on Tom.	Chúng ta có thể dựa vào Tom.
We can rely on Tom.	Chúng tôi có thể dựa vào Tom.
We can't stay here.	Chúng ta không thể ở đây.
We can't stay here.	Chúng tôi không thể ở đây.
We gave it to them.	Bọn tớ đưa nó cho họ.
We were very tired.	Chúng tôi đã rất mệt mõi.
We'll wait outside.	Chúng ta sẽ chờ ở ngoài.
We'll wait outside.	Tụi tao sẽ chờ ở ngoài.
We're going inside.	Chúng tôi đang đi vào trong.
What an idiot I am!	Tôi đúng là một thằng ngu!
What did you drink?	Cậu đã uống gì?
What's in this bag?	Trong túi này có gì vậy?
What's there to do?	Có việc gì ở đó để làm?
Which boy did that?	Thằng bé nào đã làm chuyện đó vậy?
Which cup is yours?	Tách nào của bạn?
Which cup is yours?	Cái tách nào là của bạn?
Who is watching TV?	Ai đang xem ti vi thế?
Who made this cake?	Ai đã làm chiếc bánh này?
Whose beer is this?	Bia của ai đây?
Why are they angry?	Sao họ lại tức giận?
Why are they angry?	Tại sao họ lại tức giận?
You can talk to me.	Anh có thể nói với tôi.
You can use my car.	Bạn có thể dùng xe hơi của tôi.
You drank too much.	Bạn đã uống quá nhiều rồi.
You got very drunk.	Bạn say quá rồi.
You must be joking.	Chắc là bạn đang đùa.
You must be sleepy.	Bạn đang buồn ngủ có phải không?
You only live once.	Mày chỉ sống được một lần.
You should ask Tom.	Bạn nên hỏi Tom.
You were an animal.	Mày là đồ con vật.
You're a smart boy.	Bạn là một chàng trai thông minh.
You're just a girl.	Bạn chỉ là một cô gái.
"Trust me," he said.	"Tin tôi đi," anh ấy nói.
All I have is books.	Tất cả những gì tôi có là sách vở.
Anything can happen.	Điều gì cũng có thể xảy ra.
Are you guys hungry?	Mọi người đói chưa?
Are you guys hungry?	Mọi người đói chưa ạ?
Are you in pain now?	Hiện giờ bạn có đau không?
Can I have a moment?	Cho tôi chút thời gian được không?
Complaints are rare.	Rất hiếm lời phàn nàn.
Did you read it all?	Anh đã đọc hết nó rồi à?
Did you read it all?	Anh đã đọc hết quyển đó rồi à?
Do whatever you can.	Làm bất cứ điều gì mà bạn có thể.
Do you have a fever?	Bạn có bị sốt không?
Do you like cooking?	Bạn có thích nấu ăn không?
Does Tom live alone?	Tom sống một mình à?
Everybody hates Tom.	Tất cả mọi người đều ghét Tom.
Excuse me, I'm lost.	Tôi xin lỗi, tôi bị lạc đường.
Freedom is not free.	Tự do không đồng nghĩa với được tự do.
He cured my illness.	Anh ấy đã chữa khỏi căn bệnh của tôi.
He died a sad death.	Ông ta kết thúc cuộc đời một cách buồn thảm.
He entered the army.	Anh ta gia nhập quân đội.
He entered the army.	Anh ấy đã nhập ngũ.
He has many friends.	Anh ấy có nhiều bạn.
He lives by himself.	Nó tự nuôi sống bản thân.
He lives by himself.	Nó sống với chính nó.
He lives by himself.	Nó sống một mình.
He lives in comfort.	Anh ta sống trong nhung lụa.
He never tells lies.	Nó không bao giờ nói láo.
He never tells lies.	Nó không bao giờ nói xạo.
Help me make a list.	Hãy giúp tôi tạo một danh sách.
How old is your dog?	Con chó của bạn bao nhiêu tuổi?
How old is your dog?	Chó nhà bạn bao nhiêu tuổi thế?
I bought a VIP pass.	Tôi đã mua một vé VIP.
I can smell flowers.	Tôi có thể ngửi thấy mùi hoa.
I can't believe Tom.	Tôi không thể tin Tom.
I can't believe Tom.	Tôi không thể tin tưởng Tom.
I can't do that now.	Giờ tôi chưa thể làm được.
I didn't betray you.	Tôi không phản bội cậu.
I didn't understand.	Tôi không hiểu.
I do not understand.	Tôi không hiểu.
I don't like coffee.	Tôi không thích cà phê.
I feel very relaxed.	Tôi thấy rất thư giãn.
I got that from Tom.	Tôi nhận được cái đó từ Tom
I had a great night.	Tôi đã có một đêm tuyệt vời.
I had to arrest Tom.	Tôi đã phải bắt giữ Tom.
I lost sight of Tom.	Tôi đã mất dấu Tom.
I make €100 a day.	Tôi kiếm được 100 euro một ngày.
I need a translator.	Tôi cần một người dịch.
I need a translator.	Tôi cần một thông dịch viên.
I need to sleep now.	Tớ đi ngủ đây.
I need you to leave.	Tôi cần bạn rời khỏi đây.
I only used it once.	Tôi chỉ sử dụng nó một lần.
I opened the window.	Tôi đã mở cửa sổ.
I picked up the cat.	Tôi đã nhặt con mèo lên.
I really have to go.	Tôi thực sự phải đi.
I want Tom arrested.	Tôi muốn Tom bị bắt.
I want to marry her.	Tôi muốn lấy cô ấy.
I want to marry her.	Tôi muốn cưới cô ấy.
I want to marry her.	Tôi muốn kết hôn với cô ấy.
I want your respect.	Tôi muốn sự tôn trọng của bạn.
I want your respect.	Tôi muốn có được sự tôn trọng của bạn.
I will be back soon.	Tôi sẽ quay lại sớm.
I will be back soon.	Tôi sẽ quay lại sớm thôi.
I won't pay for Tom.	Tôi sẽ không trả tiền cho Tom.
I'd help if I could.	Em sẽ giúp nếu có thể.
I'm Tom's bodyguard.	Tôi là vệ sĩ của Tom.
I'm Tom's bodyguard.	Tôi là vệ sỹ của Tom.
I'm a tennis player.	Tôi là người chơi ten-nít.
I'm bad at swimming.	Tôi bơi không giỏi.
I'm eating rice now.	Tôi đang ăn cơm.
I'm glad I can help.	Rất vui vì tôi có thể giúp.
I'm studying French.	Tôi đang học tiếng Pháp.
I'm taller than Tom.	Tôi cao hơn Tom.
I've got a headache.	Tôi bị đau đầu.
I've lost my wallet.	Tôi bị mất ví.
I've seen it myself.	Tôi từng tận mắt thấy nó.
I've seen you on TV.	Tôi đã nhìn thấy bạn trên ti vi.
Is everyone waiting?	Mọi người đang chờ à?
Is everyone waiting?	Mọi người đang đợi à?
Is that good or bad?	Cái đó tốt hay xấu?
It was very helpful.	Nó rất có ích.
It's finally Friday.	Cuối cùng cũng đến thứ sáu rồi đấy.
It's finally Friday.	Cuối cùng cũng đến thứ Sáu rồi.
It's finally Friday.	Cuối cùng cũng tới thứ 6 rồi.
It's not big enough.	Nó không đủ to.
Keep away from that.	Tránh xa chỗ đó ra.
Keep away from that.	Tránh xa nơi đó.
Keep away from that.	Tránh xa nơi đó ra.
Mom is always right.	Mẹ luôn luôn đúng.
My back still hurts.	Lưng tôi vẫn đau.
My hobby is reading.	Sở thích của tôi là đọc sách.
My money was stolen.	Tôi bị trộm mất tiền.
My whole body hurts.	Tôi bị đau toàn thân.
Nobody can stop Tom.	Không ai có thể ngăn cản Tom.
Nobody can stop Tom.	Không một ai có thể ngăn Tom lại.
Please show me that.	Hãy cho tôi xem cái kia.
Prices are going up.	Vật giá đang tăng.
Seeing is believing.	Trăm nghe không bằng một thấy.
She is fond of cake.	Cô ấy thích bánh.
She is very healthy.	Cô ấy rất khoẻ mạnh.
She won't like this.	Nó sẽ không thích việc này.
She won't like this.	Cô ấy sẽ không thích điều này.
She won't like this.	Cô ấy sẽ không thích cái này.
She won't like this.	Cô ấy sẽ không thích việc này.
She's a kind person.	Cô ấy là một người tốt bụng.
She's a real hottie.	Cô ấy thực sự là một cô gái xinh đẹp.
That boy is running.	Cậu bé ở đằng kia đang chạy.
That's a good price.	Giá tốt đấy.
That's not possible.	Điều đó là bất khả thi.
That's why Tom came.	Đó là lý do Tom đến.
The fire alarm rang.	Chuông báo cháy vang lên.
There are no limits.	Không có giới hạn.
These are wonderful.	Thật tuyệt vời
They should know it.	Họ nên biết nó chứ.
This is not a tiger.	Đó không phải là một con hổ.
This is what I need.	Đây là cái tôi cần.
This table is heavy.	Cái bàn này nặng quá.
Today is a warm day.	Hôm nay là một ngày ấm áp.
Tom eats like a pig.	Tom ăn như lợn vậy.
Tom grabbed a chair.	Tom đã cầm lấy cái ghế.
Tom is a good pilot.	Tom là một phi công giỏi.
Tom is a good pilot.	Tom là một hoa tiêu giỏi.
Tom is an adult now.	Bây giờ Tom là người lớn.
Tom is my colleague.	Tom là đồng nghiệp của tôi.
Tom lit the candles.	Tom đã thắp nến lên.
Tom looks different.	Tom trông có vẻ khác trước.
Tom made his choice.	Tom đã đưa ra sự lựa chọn.
Tom may not be dead.	Có lẽ Tom chưa chết.
Tom needs a haircut.	Tom cần phải đi cắt tóc.
Tom opened the gate.	Tom đã mở cổng.
Tom opened the safe.	Tom mở cửa két sắt.
Tom started packing.	Tom bắt đầu đóng gói đồ đạc.
Tom was on the list.	Tom đã có tên trên danh sách.
Tom will never know.	Tôm sẽ không bao giờ biết.
We all have changed.	Chúng ta đều đã thay đổi.
We caught the train.	Chúng tôi đã bắt kịp chuyến tàu hỏa.
We need a new truck.	Chúng tôi cần một chiếc xe tải mới.
We need a new truck.	Chúng ta cần một chiếc xe tải mới.
We reached our goal.	Chúng tôi đã giành được thắng lợi.
We'll make the time.	Mình sẽ dành thời gian.
We're not strangers.	Chúng tôi không phải là người lạ.
We're out of butter.	Chúng ta đã hết bơ.
We're out of butter.	Chúng ta hết bơ rồi.
What did you answer?	Bạn đã trả lời thế nào?
What did you answer?	Bạn đã trả lời như thế nào?
What street is this?	Đây là đường gì?
What's the time now?	Bây giờ là mấy giờ rồi?
When did Tom return?	Tom về khi nào thế?
When did Tom return?	Tom về lúc nào đấy?
Who broke the plate?	Ai làm vỡ cái đĩa?
Who is that old man?	Ông già kia là ai vậy?
Who stole the apple?	Ai ăn cắp quả tào?
Why are you so ugly?	Sao mày xấu thế?
Why are you so ugly?	Sao mày xấu quá vậy?
Why are you so ugly?	Sao bạn xấu quá?
Why did Tom kiss me?	Sao Tom lại hôn tôi?
Why did Tom kiss me?	Tại sao Tom hôn tôi?
Why did you kiss me?	Tại sao anh hôn em?
Why did you kiss me?	Sao em lại hôn anh?
Will you cut it out?	Bạn sẽ cắt giảm chứ?
You are a good cook.	Bạn giỏi nấu ăn nhỉ.
You can go home now.	Bây giờ bạn có thể về nhà.
You may go home now.	Bây giờ bạn có thể về nhà.
You won't regret it.	Bạn sẽ không hối hận về điều đó đâu.
You're a loser, too.	Bạn cũng thua rồi.
You're a loser, too.	Mày cũng thua rồi.
You're so beautiful!	Bạn đẹp quá!
Are you free tonight?	Tối nay bạn có rảnh không?
Are you free tonight?	Bạn tối nay có rảnh không?
Are you still scared?	Bạn vẫn còn sợ à?
Blow out the candles.	Hãy thổi tắt nến.
Blow out the candles.	Hãy thổi tắt nến đi.
Blow out the candles.	Hãy tắt nến đi.
Can I eat in my room?	Tôi ăn trong phòng mình có được không?
Can I eat in my room?	Tôi ăn trong phòng mình được không?
Can I take your bags?	Tôi mang túi hộ bạn nhé?
Can I take your bags?	Tôi mang giỏ dùm bạn nhé?
Can you explain that?	Bạn có thể giải thích điều đó không?
Do they have weapons?	Họ có vũ khí không?
Do whatever you like.	Bạn thích làm gì thì làm.
Do whatever you like.	Thích làm gì thì làm.
Do whatever you want.	Bạn thích làm gì thì làm.
Do whatever you want.	Thích làm gì thì làm.
Do you know who I am?	Bạn có biết tôi là ai không?
Do you need our help?	Bạn có cần chúng tôi giúp không?
Do you play football?	Bạn có chơi bóng đá không?
Don't brake suddenly.	Đừng phanh đột ngột.
